top_words,hypernyms,hyponyms
change,happening relation action consequence cash thing clothing coin cash difference dress replace transfer travel change replace ,acceleration avulsion birth break conversion damage death deceleration decrease deformation destabilization development easing increase loss of consciousness mutation mutation revolution separation sex change shimmer sublimation surprise transformation transition transmutation twinkle vagary variation difference gradient about-face adulteration alteration change of direction change of integrity change of magnitude change of shape change of state communization conversion decimalization demotion diversification downshift downshift entail filtration flux metrification motion motion move movement nationalization promotion reduction rollover satisfaction secularization substitution switch turning updating variation depolarization accelerate acerbate acetylate achromatize activate activate activate activate adjust affect affect age alchemize alcoholize alkalinize allegorize alter americanize angulate animize antiquate antique archaize arterialize ash assimilate automatize automatize awaken barb barbarize bestialize better blind blister blunt blur blur boil break break down brighten bring bring brutalize bubble calcify camp capture cause to sleep centralize change intensity change taste charge charge chasten check circularize civilize clarify classicize clean clear clot cloud coarsen coarsen cohere color commercialize communize commute complicate complicate condense confuse constitutionalize contaminate conventionalize convert convert convert cook cool corrupt counterchange crack cry customize damage darken de-emphasize deaden deaden deaminate decarboxylate decelerate decentralize decimalize decorate decrease decrepitate deflate deform dehydrogenate demagnetize demist democratize demonize demulsify demythologize denationalize denaturalize denaturalize denature denature denature deodorize depersonalize depolarize desensitize desensitize destabilize detransitivize devalue develop develop devilize digitize dinge dirty disable discolor disharmonize disintegrate disorder disqualify dissimilate dissolve dissolve diversify dizzy domesticate dope draw dry dull dull dynamize dynamize ease up edit edit embrittle empty emulsify enable end equal eroticize estrange etherealize etiolate etiolate europeanize europeanize evaporate even excite excite extend exteriorize fatten feminize fertilize fill fix flatten flocculate freeze frenchify full gelatinize glamorize glorify habituate harmonize harshen heat hue humanize humble hydrogenate immaterialize immortalize inactivate incandesce increase indispose industrialize inflate inform inseminate insulate intensify internationalize introvert invalidate invert iodinate ionate islamize isomerize laicize legitimate lend liberalize lifehack lift liquefy loosen loosen louden lower lubricate magnetize make make make mark masculinize masculinize mechanize mechanize militarize militarize mince mix morph muddy mythologize nationalize nationalize naturalize naturalize nazify neutralize neutralize nick normalize obfuscate obscure obscure occidentalize officialize opacify opalize opsonize orientalize ossify outmode oxidize oxygenize paganize pall parallel patent personalize piggyback plasticize poison polarize politicize port professionalize proof prostrate purify put radicalize rarefy rarefy rationalize recombine recommend reconstruct refine reflate reform refresh relax remodel restore revolutionize right right ripen romanticize round off rusticate sanitize saponify saturate sauce schematize scramble sensitize sensitize sensitize sentimentalize set sexualize shade shake shallow shape sharpen sharpen shift shorten simplify slenderize smut sober socialize soften solemnize solvate spice spike sputter stabilize stain steepen stiffen still straighten strengthen string substitute suburbanize supercharge supple suspend suspend sweeten switch symmetrize synchronize tame tender tense territorialize thicken think tighten tone down touch transaminate transfigure transform transform transform transform transform transitivize translate transmute transpose turn turn back uglify unclutter uniformize unite unite unsanctify unscramble unsex untie untune urbanize urbanize validate variegate vascularize ventilate verbify vesiculate visualize vitalize vitrify vivify volatilize vulgarise warm weaken weaponize wet widen worsen acetylate adjust alkalinize americanize ascend assibilate assimilate assume barbarize boil break break into brutalize calcify capacitate carbonate caseate caseate catch catch on change by reversal change integrity change magnitude change posture change shape change state change surface clinker collapse come come in come round commute complexify concretize conjugate convert convert cool crack crack crash creolize cure damage darken dawn deaden decalcify decarboxylate decay decay decrepitate deepen defervesce democratize deoxidize desalinate destabilize develop develop die digest dim discolor discolor dissimilate dissimilate distill dress drift drop dry dull evaporate fail fall fall fall for felt feminize flip flocculate fly fold form format foul freshen gel gelatinize give way glaze go out gradate grow grow gum harden harden have hush hydrate hydrolyze ice up incandesce indurate industrialize introject ionize isomerize keratinize leave liberalize lighten make mature mellow modernize modify mold move mutate narrow normalize obsolesce occult opacify oxidise oxidize pall pass plasticize play out prim professionalize promote purify recede receive recombine reflate regenerate regress rejuvenate relax reorient repress resume reticulate rise roll salinate saponify separate sequester settle shade shallow shear shift shift smoothen soften solarize spot stabilize stagnate steepen stiffen stratify strengthen sublime suburbanize suffuse superannuate swing synthesize tighten transaminate transform transpire turn turn on ulcerate undergo undulate vascularize vesiculate vitrify vulcanize warm warm up adapt alternate avianize break crackle diversify diversify honeycomb let out modulate move specialize take in break break cut diphthongize leap shift surf transition break capitalize launder rectify utilize barter cash ransom redeem sell substitute trade trade
person,causal agent organism human body grammatical category ,abator abjurer abomination abstainer achiever acquaintance acquirer active actor adjudicator admirer adoptee adult adventurer adversary advisee advocate affiant african agnostic amateur amerindian ancient anomaly anti-american anti applicant appointee appreciator apprehender aquarius archaist aries arrogator assessee asthmatic authority autodidact baby boomer baby buster bad guy bad person baldhead balker bather beard bedfellow bereaved best birth biter black blogger blond bluecoat bodybuilder bomber brunet bullfighter buster cancer candidate capitalist capricorn captor case cashier celebrant censor chameleon changer charmer child chutzpanik closer clumsy person collector color-blind person combatant commoner communicator complexifier compulsive computer user contemplative contestant convert copycat counter counterterrorist coward crawler creator creature creditor cripple dancer dead person deaf person debaser debtor defecator delayer deliverer demander dieter differentiator disentangler disputant dissenter divider domestic partner double dresser dribbler drug user dyslectic ectomorph effecter elizabethan emotional person endomorph engineer enjoyer enrollee entertainer ethnic experimenter expert explorer extrovert face faddist faller fastener female fiduciary first-rater follower free agent friend fugitive gainer gainer gambler gatekeeper gatherer gemini gentile good guy good person granter greeter grinner groaner grunter guesser handicapped person hater heterosexual homosexual homunculus hope hoper huddler hugger immune individualist inhabitant innocent insured intellectual interpreter introvert jat jew jewel jumper junior juvenile killer kink kneeler knocker knower large person latin laugher leader learner left-hander leo libra life lightning rod linguist literate liver longer loose cannon loved one lover machine mailer malcontent male man man jack manipulator married masturbator measurer mesomorph mestizo middlebrow miracle man misogamist mixed-blood modern money handler monolingual mother hen mouse mutilator namer namesake national native native neglecter neighbor neutral nondescript nonmember nonparticipant nonpartisan nonperson nonreligious person nonresident nonsmoker nonworker nude nurser occultist optimist orphan ostrich ouster outcaste outdoorsman owner pamperer pansexual pardoner partner party passer peer perceiver percher person of color personage personification perspirer philosopher picker pisces pisser planner player posturer powderer precursor preserver primitive propositus public relations person pursuer pussycat quarter quitter radical realist rectifier redhead registrant relative reliever religious person repeater rescuer rester restrainer revenant rich person right-hander riser romper roundhead ruler rusher sagittarius scientist scorpio scratcher second-rater seeder seeker segregate self sensualist sentimentalist sex object sex symbol shaker showman signer simpleton six-footer skidder slav slave slave sleepyhead sloucher small person smasher smiler sneezer sniffer sniffler snuffer snuffler socializer sort sounding board sphinx spitter sport sprawler spurner squinter stifler stigmatic stooper stranger struggler subject supernumerary surrenderer survivalist survivor suspect tagger tagger tapper taurus tempter termer terror testator thin person third-rater thrower tiger totemist toucher transfer transsexual transvestite traveler trier turner tyrant undoer unfortunate unskilled person unwelcome person user vanisher victim victorian virgo visionary visually impaired person waiter waker walk-in wanter ward warrior watcher weakling weasel white wiggler winker withholder witness worker worldling yawner first person second person third person
bird genus,,
herb,vascular plant flavorer ,abyssinian banana acanthus achillea agrimonia alexander alpine coltsfoot alumroot amaranth american ginseng anchusa andryala angelica anise apple of peru arnica arum asclepiad asparagus asparagus fern aspidistra astilbe astrantia australian pitcher plant ayapana baby blue-eyes balsamroot banana barilla barrenwort basil basil thyme bedstraw beefsteak plant belladonna bergenia bird's foot trefoil bird of paradise black horehound black salsify bladderpod bladderpod bladderpod bleeding heart bloodroot bloodwort blue pimpernel blueweed boneset borage breadroot buckwheat bugle bugleweed bur reed bush pea butterbur buttercup butterweed button snakeroot calamint campanula camphor dune tansy canna caraway cardamom carnivorous plant carrot caryophyllaceous plant cat's foot catmint celeriac celery chaenactis chamois cress chamomile chervil chickweed chicory chinese forget-me-not clammyweed climbing onion clover cockscomb coleus coltsfoot columbo comfrey common amsinckia common unicorn plant coral necklace coreopsis coriander corn salad costmary costusroot cottonweed cow parsley cow parsnip creeping zinnia crotalaria crucifer cumin cupflower dagga dandelion dead nettle dill dock dog's mercury dog fennel draba dragonhead drypis dutchman's breeches earthnut eggplant egyptian henbane elephant's-foot elsholtzia endive evening primrose false bugbane false foxglove false foxglove false gromwell false nettle false rue anemone fennel fenugreek feverfew feverroot fiesta flower flax fleabane foamflower forget-me-not foxglove fraxinella fringepod fumitory galax garden forget-me-not geranium gesneria giant buttercup giant hyssop ginger ginseng gipsywort glasswort globe thistle globeflower goat's rue golden groundsel goldenseal goldthread goosefoot grains of paradise gramineous plant green gentian gromwell ground cherry gumweed halogeton hawkweed hawkweed heartleaf hedge mustard hedge nettle hedge nettle hemp agrimony hemp nettle henbane hepatica herb mercury herb paris herbage hoary alison hoary puccoon honesty horehound horse balm horseradish hound's-tongue hound's-tongue hyssop indian lettuce indian plantain inula ironweed jewelweed joe-pye weed joe-pye weed kangaroo paw kidney vetch kniphofia krigia ladies' tobacco lamb succory large-flowered fiddleneck legume lemon balm leopard's-bane leopard plant lettuce licorice lion's-ear lion's foot loasa lobelia loosestrife lovage mandrake maranta marsh felwort martynia mayapple medic milk thistle milkweed mint miterwort molucca balm monarda moon carrot motherwort mountain mint mouse-ear chickweed mullein mustang mint nasturtium nemophila new zealand spinach okra one-flowered wintergreen orach origanum oxalis parsley parsnip pellitory-of-the-wall pellitory pennyroyal peperomia periwinkle phlox physostegia pia pickaback plant pimpernel pineapple pineapple weed pipsissewa plantain plantain lily plumbago pokeweed polemonium prairie mimosa prickly poppy primrose pteropogon puccoon purslane pyrethrum rattlesnake root rattlesnake root red fox reseda rhubarb rock purslane rocket rosemary rue safflower sage sainfoin salad burnet salpiglossis salsify sand devil's claw sanicle savory savory sawwort saxifrage scentless camomile scopolia carniolica sea-rocket sea kale sea milkwort sedum self-heal sesame shamrock pea sheep plant simple skullcap sneezeweed spiderflower spiderwort spurge nettle squirrel corn stapelia stevia stevia stickweed stone parsley stonecress strawberry suksdorfia sweet cicely sweet coltsfoot sweet false chamomile sweet unicorn plant tansy-leaved rocket tansy mustard tarweed tassel flower tassel flower teasel thorny amaranth thyme tobacco tomato turfing daisy turfing daisy turmeric umbellifer umbrella plant vegetable vegetable sheep viola virginia bluebell wall rocket wasabi water horehound waterleaf white rocket white snakeroot wild basil wild celery wild ginger wild licorice wild senna wild vanilla willowherb winged pea winter aconite winter heliotrope wintergreen woad wood mint wort yellow bells yerba buena yerba mansa angelica basil bay leaf borage caraway chervil chives comfrey coriander costmary dill fennel fines herbes hyssop lemon balm lovage marjoram mint parsley rosemary rue sage savory sweet cicely sweet woodruff tarragon tea thyme
mammal genus,,
asterid dicot genus,,
shrub,woody plant ,abelia african hemp allspice alpine azalea alpine totara american angelica tree amorpha anadenanthera colubrina andromeda andromeda angel's trumpet angel's trumpet apalachicola rosemary arbutus arrow wood arrow wood artemisia australian heath banksia barbasco barberry bean caper bean trefoil bearberry beauty bush bird's-eye bush bitter pea black haw blackthorn bladder senna blolly blue cohosh blueberry box bracelet wood bridal wreath bristly locust broom bryanthus buckler mustard buckthorn buckthorn burning bush bush hibiscus bush honeysuckle bush honeysuckle bush poppy bushman's poison butcher's broom butterfly bush butterfly flower calliandra camellia candlewood cannabis caper capsicum caricature plant carissa cassava castor-oil plant cat's-claw catha edulis chalice vine chanar chaparral pea cherry laurel chilean firebush chilean nut chilean rimu chinese angelica chinese holly christ's-thorn christmasberry cinquefoil climbing hydrangea columnea common flat pea coral bush coralberry coralberry corkwood coronilla cotoneaster cotton coyote brush cranberry cranberry bush crape jasmine crape myrtle creosote bush croton croton crowberry currant cushion flower cyrilla daisybush dalmatian laburnum daphne day jessamine derris desert willow dog laurel dombeya dusty miller dwarf golden chinkapin elder ephedra erythroxylon coca erythroxylon truxiuense false azalea false tamarisk feijoa fetterbush fetterbush fever tree flame pea flannelbush flat pea flowering quince flowering shrub forestiera forsythia fothergilla frangipani fuchsia gardenia geebung glory pea goldenbush gooseberry gorse governor's plum greasewood grevillea groundsel tree guelder rose guinea gold vine hamelia hawthorn heath helianthemum hiccup nut himalaya honeysuckle hoary golden bush honey bell honeyflower honeysuckle hovea huckleberry huckleberry oak hydrangea impala lily indian rhododendron indigo japan allspice japanese angelica tree jasmine jerusalem thorn jujube juneberry jupiter's beard kalmia kapuka kei apple labrador tea lady-of-the-night laurel sumac lavender lavender cotton leadwort leatherleaf leatherwood leucothoe lilac lomatia lotus tree makomako maleberry mallow manzanita marlberry marmalade bush mastic matrimony vine medinilla magnifica mesquite mimosa minniebush mock privet mountain rimu mucuna mule fat mutisia mysore thorn naranjilla native cranberry native pear needlebush needlewood negro peach night jasmine oleaster oregon grape oregon grape othonna paloverde patchouli pavonia pea tree pepper shrub phalsa philadelphus pichi pigeon pea pink fivecorner pitcher sage poison bush potato tree privet protea puka pyracantha pyxie rauwolfia red angel's trumpet red shrubby penstemon retem rhododendron rockrose rooibos rose russian thistle sabicu salal salt tree saltbush saltwort saltwort sand cherry sand myrtle screw tree sea holly senna shrublet silversword slipper spurge smoke bush smoke tree smoke tree sow thistle spicebush spindle tree spirea spurge staff tree staggerbush stephanotis strawberry bush strophanthus styrax subshrub sumac summer cypress swamp oak sweet bells sweet fern sweet gale sweet pepperbush tagasaste tamarisk tasman dwarf pine tea telegraph plant thorn apple three-seeded mercury ti toyon trailing arbutus trapper's tea tree lupine tree mallow tree tomato umbrella tree undershrub wahoo waratah waratah wax myrtle wayfaring tree weigela western redbud wild cinnamon wild peach wild rosemary winged pigweed winter hazel winter sweet witch hazel xylosma yellow oleander yerba santa yucca
rosid dicot genus,,
fish genus,,
animal order,,
